,Precio,NCuartos,Area,NBaños,Distrito,Amoblado,Cochera,Azotea,zona,con_cochera
291,950.0,2.0,100.0,2.0,Miraflores,2.0,2.0,0,7,1
292,514.24,1.0,75.0,1.0,Santiago de Surco,0.0,0.0,0,7,0
293,486.45,3.0,95.0,2.0,Santiago de Surco,0.0,0.0,0,7,0
294,750.0,1.0,73.0,1.0,Barranco,2.0,1.0,0,8,1
295,389.16,1.0,65.0,1.0,Magdalena del Mar,0.0,0.0,0,6,0
296,525.36,2.0,7.0,2.0,Miraflores,2.0,1.0,0,7,1
297,667.13,2.0,100.0,1.0,San Borja,0.0,0.0,0,7,0
298,250.17,2.0,90.0,1.0,San Juan de Lurigancho,0.0,0.0,1,3,0
299,439.19,1.0,40.0,1.0,Cercado de Lima,0.0,1.0,0,4,1
300,694.93,3.0,105.0,4.0,Miraflores,2.0,1.0,0,7,1
301,250.17,2.0,90.0,1.0,San Juan de Lurigancho,0.0,0.0,1,3,0
302,830.0,3.0,140.0,3.0,Miraflores,0.0,1.0,0,7,1
303,1100.0,3.0,163.0,2.0,Santiago de Surco,0.0,2.0,0,7,1
305,850.0,2.0,100.0,3.0,Miraflores,2.0,2.0,0,7,1
306,1500.0,2.0,89.0,2.0,Miraflores,2.0,1.0,0,7,1
307,500.35,3.0,70.0,2.0,Lince,0.0,0.0,1,6,0
309,1100.0,3.0,160.0,4.0,Santiago de Surco,0.0,2.0,0,7,1
310,1350.0,3.0,140.0,3.0,Miraflores,2.0,2.0,0,7,1
311,1100.0,1.0,80.0,1.0,Miraflores,2.0,2.0,0,7,1
313,1100.0,3.0,142.0,2.5,Miraflores,0.0,2.0,1,7,1
314,1100.0,3.0,120.0,2.0,Miraflores,2.0,2.0,0,7,1
315,1000.0,2.0,70.0,2.0,Lince,2.0,1.0,0,6,1
316,850.0,2.0,100.0,2.0,Magdalena del Mar,2.0,1.0,0,6,1
317,900.0,2.0,80.0,2.0,Miraflores,2.0,1.0,1,7,1
318,950.0,3.0,160.0,3.0,Santiago de Surco,0.0,2.0,0,7,1
319,361.36,1.0,41.0,1.0,San Miguel,0.0,0.0,0,6,0
320,1175.0,2.0,140.0,3.0,Miraflores,2.0,2.0,0,7,1
321,1100.0,3.0,120.0,2.5,Miraflores,2.0,2.0,0,7,1
322,520.0,1.0,50.0,1.0,Barranco,2.0,0.0,0,8,0
323,850.0,2.0,100.0,3.0,Miraflores,0.0,0.0,0,7,0
324,639.33,3.0,100.0,2.0,Santiago de Surco,1.0,0.0,0,7,0
325,1200.0,3.0,180.0,4.0,Santiago de Surco,2.0,2.0,0,7,1
326,555.94,2.0,45.0,2.0,Cercado de Lima,2.0,0.0,0,4,0
327,472.55,2.0,74.0,2.0,Chorrillos,0.0,0.0,0,8,0
328,750.0,1.0,50.0,1.0,Barranco,1.0,1.0,0,8,1
329,750.0,1.0,50.0,1.0,Miraflores,2.0,1.0,0,7,1
330,800.0,3.0,128.0,3.0,Santiago de Surco,0.0,2.0,0,7,1
331,1250.0,3.0,160.0,2.0,San Isidro,0.0,2.0,0,7,1
332,750.0,2.0,98.0,2.0,San Isidro,0.0,1.0,1,7,1
333,1900.0,3.0,285.0,4.0,Santiago de Surco,0.0,2.0,0,7,1
334,1100.0,3.0,204.0,4.0,Miraflores,0.0,2.0,0,7,1
335,555.94,3.0,95.0,2.0,Santiago de Surco,0.0,1.0,0,7,1
336,514.24,3.0,95.0,2.0,Santiago de Surco,0.0,1.0,0,7,1
337,825.0,2.0,65.0,1.0,Miraflores,2.0,0.0,0,7,0
338,486.45,3.0,95.0,2.0,Santiago de Surco,0.0,0.0,0,7,0
339,850.0,2.0,100.0,2.0,San Isidro,2.0,0.0,1,7,0
340,625.0,1.0,50.0,2.0,Jesus Maria,2.0,0.0,0,6,0
341,555.94,3.0,95.0,2.0,Santiago de Surco,0.0,1.0,0,7,1
342,806.11,2.0,90.0,3.0,Miraflores,2.0,1.0,0,7,1
343,639.33,3.0,110.0,2.0,Santiago de Surco,0.0,0.0,0,7,0
344,666.85,3.0,95.0,2.0,Jesus Maria,0.0,1.0,0,6,1
345,416.96,2.0,54.0,1.0,Chorrillos,0.0,0.0,0,8,0
346,528.14,2.0,60.0,1.0,Miraflores,0.0,1.0,1,7,1
347,750.0,3.0,90.0,2.0,Santiago de Surco,0.0,0.0,0,7,0
348,550.0,2.0,60.0,2.0,San Miguel,0.0,1.0,0,6,1
349,750.0,2.0,90.0,1.5,Miraflores,2.0,1.0,0,7,1
350,1000.0,3.0,120.0,2.5,Miraflores,2.0,1.0,0,7,1
351,416.96,1.0,41.0,1.0,Santiago de Surco,0.0,0.0,0,7,0
352,555.94,4.0,130.0,3.0,Santiago de Surco,0.0,1.0,0,7,1
353,700.0,3.0,100.0,2.0,Santiago de Surco,0.0,1.0,0,7,1
354,700.0,3.0,110.0,2.0,Santiago de Surco,0.0,1.0,0,7,1
355,625.43,3.0,90.0,2.0,Lince,2.0,0.0,0,6,0
356,950.0,2.0,70.0,2.0,Miraflores,2.0,1.0,0,7,1
357,700.0,3.0,120.0,3.0,Santiago de Surco,0.0,1.0,0,7,1
358,542.04,3.0,117.0,1.5,Surquillo,0.0,1.0,0,8,1
359,1000.0,3.0,117.0,3.0,Miraflores,2.0,2.0,0,7,1
360,189.02,1.0,50.0,1.0,Santiago de Surco,0.0,0.0,0,7,0
361,900.0,4.0,100.0,2.0,Miraflores,2.0,1.0,0,7,1
362,750.0,1.0,75.0,1.0,San Isidro,0.0,0.0,0,7,0
363,1500.0,3.0,165.0,3.0,Miraflores,2.0,0.0,0,7,0
364,650.0,1.0,50.0,1.0,San Isidro,2.0,1.0,1,7,1
365,208.48,1.0,50.0,1.0,Santiago de Surco,0.0,0.0,0,7,0
366,1000.0,2.0,87.0,2.0,Miraflores,2.0,0.0,0,7,0
367,400.0,2.0,55.0,1.0,Miraflores,2.0,0.0,0,7,0
368,700.0,1.0,60.0,1.0,Miraflores,2.0,0.0,1,7,0
369,1100.0,3.0,106.0,2.0,Miraflores,2.0,1.0,0,7,1
370,420.0,2.0,60.0,2.0,Miraflores,2.0,0.0,0,7,0
371,630.99,2.0,75.0,1.0,Miraflores,0.0,1.0,0,7,1
372,700.0,3.0,106.0,3.0,Miraflores,0.0,1.0,0,7,1
373,778.32,3.0,103.0,2.5,Santiago de Surco,0.0,1.0,0,7,1
374,472.55,1.0,65.0,2.0,Santiago de Surco,1.0,0.0,1,7,0
375,350.0,1.0,45.0,1.0,Miraflores,2.0,0.0,0,7,0
